place,title,time,pay,date
경기 안산시, 깐부치킨 안산신길지구점,18:00~22:00,"시급8,800",37분전
서울 영등포, 깐부치킨 동여의도점,18:00~01:00,"시급10,000",2시간전
서울 용산구, 깐부치킨 용산푸르지오써밋점,18:00~01:00,"시급8,720",3시간전
서울 용산구, 깐부치킨 용산푸르지오써밋점,14:00~01:00,"월급3,000,000",3시간전
대전 서구, 깐부치킨 대전시청점,15:30~01:30,"월급2,000,000",7시간전
서울 성동구, 깐부치킨 금호점,15:00~01:00,"월급2,400,000",01/29
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"시급9,000",01/29
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"월급2,500,000",01/29
경기 안산시, 깐부치킨 안산신길지구점,16:00~02:00,"월급2,300,000",01/22
서울 강남구, 깐부치킨 세곡점,15:00~01:00,"월급2,400,000",01/18
서울 용산구, 깐부치킨 용산푸르지오써밋점,18:00~01:00,"시급8,720",01/16
